# Ubmax_nK Ubmax_SEU Critical_Omega_R
23.8200 225.6894 1.3000
23.8600 226.0684 1.3000
23.9000 226.4474 1.3000
23.9400 226.8264 1.3000
23.9800 227.2054 1.3000
24.0200 227.5844 1.3000
24.0600 227.9634 1.3000
24.1000 228.3424 1.3000
24.1400 228.7214 1.3000
24.1800 229.1004 1.3000
24.2200 229.4793 1.3000
24.2600 229.8583 1.3000
24.3000 230.2373 1.3000
24.3400 230.6163 1.3000
24.3800 230.9953 1.3000
24.4200 231.3743 1.3000
24.4600 231.7533 1.3000
24.5000 232.1323 1.3000
24.5400 232.5113 1.3000
24.5800 232.8903 1.3000
24.6200 233.2693 1.3000
24.6600 233.6483 1.3000
24.7000 234.0272 1.3000
24.7400 234.4062 1.3000
24.7800 234.7852 1.3000
24.8200 235.1642 1.3000
24.8600 235.5432 1.3000
24.9000 235.9222 1.3000
24.9400 236.3012 1.3000
24.9800 236.6802 0.8600
25.0200 237.0592 0.8600
25.0600 237.4382 0.8600
25.1000 237.8172 0.8600
25.1400 238.1962 0.8600
25.1800 238.5751 0.8600
25.2200 238.9541 0.8600
25.2600 239.3331 0.8600
25.3000 239.7121 0.8600
25.3400 240.0911 0.8600
25.3800 240.4701 0.8600
25.4200 240.8491 0.8600
25.4600 241.2281 0.8600
25.5000 241.6071 0.8600
25.5400 241.9861 0.8600
25.5800 242.3651 0.8600
25.6200 242.7441 0.8600
25.6600 243.1230 0.8600
25.7000 243.5020 0.8600
25.7400 243.8810 0.8600
25.7800 244.2600 0.8600
25.8200 244.6390 0.8600
25.8600 245.0180 0.8600
25.9000 245.3970 0.8600
25.9400 245.7760 0.8600
25.9800 246.1550 0.8600
26.0200 246.5340 0.8600
26.0600 246.9130 0.8600
26.1000 247.2920 0.8600
26.1400 247.6709 0.8600
26.1800 248.0499 0.8600
26.2200 248.4289 0.8600
26.2600 248.8079 0.8600
26.3000 249.1869 0.8600
26.3400 249.5659 0.8500
26.3800 249.9449 0.7800
26.4200 250.3239 0.7800
26.4600 250.7029 0.7800
26.5000 251.0819 0.7800
26.5400 251.4609 0.7800
26.5800 251.8398 0.7800
26.6200 252.2188 0.7800
26.6600 252.5978 0.7800
26.7000 252.9768 0.7800
26.7400 253.3558 0.7800
26.7800 253.7348 0.7800
26.8200 254.1138 0.7800
26.8600 254.4928 0.7800
26.9000 254.8718 0.7800
26.9400 255.2508 0.7800
26.9800 255.6298 0.7800
27.0200 256.0088 0.7800
27.0600 256.3877 0.7800
27.1000 256.7667 0.7800
27.1400 257.1457 0.7800
27.1800 257.5247 0.7800
27.2200 257.9037 0.7800
27.2600 258.2827 0.7800
27.3000 258.6617 0.7800
27.3400 259.0407 0.7800
27.3800 259.4197 0.7800
27.4200 259.7987 0.7800
27.4600 260.1777 0.7800
27.5000 260.5567 0.7800
27.5400 260.9356 0.7500
27.5800 261.3146 0.7500
27.6200 261.6936 0.7500
27.6600 262.0726 0.7500
27.7000 262.4516 0.7500
27.7400 262.8306 0.7500
27.7800 263.2096 0.7500
27.8200 263.5886 0.7500
27.8600 263.9676 0.7400
27.9000 264.3466 0.7400
27.9400 264.7256 0.7400
27.9800 265.1046 0.7400
28.0200 265.4835 0.7400
28.0600 265.8625 0.7400
28.1000 266.2415 0.7400
28.1400 266.6205 0.7400
28.1800 266.9995 0.7400
28.2200 267.3785 0.7400
28.2600 267.7575 0.7400
28.3000 268.1365 0.7300
28.3400 268.5155 0.7300
28.3800 268.8945 0.7300
28.4200 269.2735 0.7300
28.4600 269.6524 0.7300
28.5000 270.0314 0.7300
28.5400 270.4104 0.7300
28.5800 270.7894 0.7300
28.6200 271.1684 0.7300
28.6600 271.5474 0.7200
28.7000 271.9264 0.7200
28.7400 272.3054 0.7200
28.7800 272.6844 0.7200
28.8200 273.0634 0.7200
28.8600 273.4424 0.7200
28.9000 273.8214 0.7200
28.9400 274.2003 0.7200
28.9800 274.5793 0.6700
29.0200 274.9583 0.6700
29.0600 275.3373 0.6700
29.1000 275.7163 0.6700
29.1400 276.0953 0.6700
29.1800 276.4743 0.6700
29.2200 276.8533 0.6700
29.2600 277.2323 0.6700
29.3000 277.6113 0.6700
29.3400 277.9903 0.6700
29.3800 278.3693 0.6700
29.4200 278.7482 0.6700
29.4600 279.1272 0.6700
29.5000 279.5062 0.6700
29.5400 279.8852 0.6300
29.5800 280.2642 0.6300
29.6200 280.6432 0.6300
29.6600 281.0222 0.6300
29.7000 281.4012 0.6300
29.7400 281.7802 0.6300
29.7800 282.1592 0.6300
29.8200 282.5382 0.6200
29.8600 282.9172 0.6200
29.9000 283.2961 0.6200
29.9400 283.6751 0.6200
29.9800 284.0541 0.6200
30.0200 284.4331 0.6200
30.0600 284.8121 0.6200
30.1000 285.1911 0.6200
30.1400 285.5701 0.6200
30.1800 285.9491 0.6100
30.2200 286.3281 0.6100
30.2600 286.7071 0.6100
30.3000 287.0861 0.6100
30.3400 287.4650 0.6100
30.3800 287.8440 0.6100
30.4200 288.2230 0.6100
30.4600 288.6020 0.6100
30.5000 288.9810 0.6100
30.5400 289.3600 0.6100
30.5800 289.7390 0.6100
30.6200 290.1180 0.6100
